Cable Name,IL_10MHz,IL_50MHz,IL_100MHz,IL_500MHz,IL_1000MHz,IL_5000MHz,DataRate(Mbps),preW,mainW,postW,dpre,dpost,Rdrv,eyeSNR
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.4,0.8,300,2.283875
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.4,0.8,700,2.168351
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.4,0.8,1100,1.956396
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.6,0.2,300,1.938719
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.6,0.2,700,1.704585
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.6,0.2,1100,1.679672
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.6,0.4,300,2.007868
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.6,0.4,700,1.859028
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.6,0.4,1100,1.873983
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.6,0.6,300,2.115503
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.6,0.6,700,2.003479
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.6,0.6,1100,2.019255
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.6,0.8,300,2.292447
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.6,0.8,700,2.166159
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.6,0.8,1100,2.014215
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.8,0.2,300,1.948549
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.8,0.2,700,1.724861
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.8,0.2,1100,1.682134
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.8,0.4,300,2.024099
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.8,0.4,700,1.873452
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.8,0.4,1100,1.899514
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.8,0.6,300,2.130586
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.8,0.6,700,2.047693
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.8,0.6,1100,2.059234
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.8,0.8,300,2.330721
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.8,0.8,700,2.206256
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.8,0.8,1100,2.015012
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.2,0.2,300,1.752222
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.2,0.2,700,1.528691
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.2,0.2,1100,1.760154
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.2,0.4,300,1.805896
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.2,0.4,700,1.630091
