Cable_Name,IL_10MHz,IL_50MHz,IL_100MHz,IL_500MHz,IL_1000MHz,IL_5000MHz,DataRate(Mbps),preW,mainW,postW,dpre,dpost,Rdrv,eyeSNR
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.6,0.4,700,1.323089
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.6,0.2,700,1.32206
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.4,0.8,700,1.321235
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,2,1,5,0.8,0.4,1100,1.320628
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.4,0.4,300,1.318556
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,1,2,0.4,0.6,300,1.317977
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,2,0.2,0.6,300,1.317772
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.8,0.2,700,1.316904
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,2,1,5,0.4,0.2,300,1.316708
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,5,0.8,0.8,300,1.316566
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.2,0.4,300,1.316325
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.4,0.6,1100,1.315821
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,2,0.8,0.6,700,1.315178
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,2,0.8,0.6,1100,1.314757
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,1,2,0.2,0.8,1100,1.314665
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,2,1,0,0.2,0.6,700,1.314014
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,5,0.2,0.2,300,1.31382
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.6,0.8,700,1.313669
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,3,7,0.2,0.2,700,1.313238
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.6,0.2,300,1.313056
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,0,0.8,0.4,700,1.312996
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,1,7,0.8,0.4,1100,1.312708
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,5,0.4,0.8,700,1.312669
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,2,0.8,0.2,1100,1.312403
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,7,0.4,0.6,1100,1.312081
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,3,0,0.6,0.4,300,1.311894
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,3,7,0.4,0.8,700,1.310584
